model,params,precision,recall,accuracy,f1-score
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 100}",0.7359706523894507,0.40979352986640166,0.8717244294167371,0.5264539007092198
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 500}",0.7381094527363184,0.40951750027602957,0.8719741796664874,0.5267717653742366
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.7257861635220125,0.41409959147620623,0.8708310919849381,0.5273296073675701
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.7326655645239716,0.41592138677266205,0.8719645738876508,0.5306194316301018
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.7367440948740567,0.4149828861653969,0.872406439714132,0.5309178232157361
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.7273343665246028,0.41454123882080157,0.871090448013525,0.5280962092974189
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7303141970519783,0.4157557690184388,0.8716283716283716,0.5298670231478224
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.7355015673981191,0.4144860329027272,0.8721855068008915,0.530188546006638
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 50}",0.7352941176470589,0.4071436457988296,0.8713401982632751,0.5240903922683342
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 100}",0.7360944377751101,0.40620514519156453,0.8713401982632751,0.5235147634293845
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 500}",0.7370529900831413,0.40620514519156453,0.8714650733881503,0.523756984731466
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6964316497155663,0.446063818041294,0.8697840620917544,0.5438147799165433
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7055882094920607,0.44402119907254056,0.8710232075616691,0.5450479449734016
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.706990667371016,0.4433035221375731,0.8711672942442173,0.5449239956568946
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.6440040997608473,0.5203157778513857,0.8664892799508184,0.5755900943540261
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6492309824026604,0.5173346582753671,0.8673826173826173,0.5758264716726067
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.6546215556330659,0.5180523352103346,0.8685833397371859,0.5783845418965144
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 50}",0.5344646145751119,0.6729049354090758,0.8411012064858219,0.5957478005865102
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 100}",0.5355841418975282,0.67345699458982,0.8415718896488127,0.596659411606466
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 500}",0.5383087651160738,0.6733465827536712,0.8426765542150157,0.5983027567938782
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.668603335093941,0.48917964005741416,0.8689291477753016,0.5649886823731948
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6770152923999078,0.48636413823561886,0.8702547452547452,0.5660680438204773
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.67965134217834,0.48641934415369326,0.8707446399754092,0.5670249050775468
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.6281574803149607,0.550513415038092,0.8650868362406824,0.5867780752596428
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6356485034535687,0.5486916197416363,0.8667486359794052,0.5889777777777778
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.6380277151144054,0.5464833830186596,0.8671424729117037,0.5887180707127777
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 50}",0.5323562668522224,0.6757756431489456,0.8402943210635518,0.5955531769971781
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 100}",0.5333101105982757,0.6761620845754664,0.8406977637746869,0.5962999026290166
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 500}",0.534761696545693,0.675168378050127,0.8412741105048798,0.5968182705446027
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.5942068514073751,0.6013580655846307,0.8591792822562053,0.5977610711737914
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.5978135472174916,0.6007508004858121,0.860207100591716,0.5992785747721453
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.5992381162700823,0.5992050347797284,0.8605336970721587,0.5992215750683193
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.5905712580697662,0.6009716241581098,0.8580746176900023,0.5957260513858867
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.5971459934138309,0.6006403886496633,0.8600053792361485,0.598888093796444
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.6000551724137931,0.6004195649773656,0.8608410819949281,0.60023731339165
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 50}",0.5230886011892211,0.6847742077950756,0.8365192499807884,0.5931097138212159
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 100}",0.525981450895693,0.6856575024842663,0.8377872127872128,0.5952980084837156
Random Forest,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 500}",0.5262890094979648,0.685215855139671,0.8379120879120879,0.5953283131085424
